name,category,difficulty,duration,description,instructions,equipment,target_muscles
Movement Patterns,Cognition,advanced,1.0,Creating movement patterns,"Create a pattern of movements, then repeat it.",None,"Brain, creativity"
Balance Sequence,Cognition,intermediate,0.7,Sequence of balance exercises,Perform a sequence of balance exercises.,None,"Brain, balance"
Coordination Sequence,Cognition,advanced,1.0,Sequence of coordination exercises,Perform a sequence of coordination exercises.,None,"Brain, coordination"
Memory Walk,Cognition,intermediate,0.7,Walking with memory tasks,Walk while remembering and repeating patterns.,None,"Brain, memory"
Pattern Walk,Cognition,intermediate,0.7,Walking in patterns,Walk in specific patterns while maintaining awareness.,None,"Brain, pattern recognition"
Reaction Walk,Cognition,beginner,0.5,Walking with reaction tasks,Walk while reacting to visual or audio cues.,None,"Brain, reaction time"
Spatial Walk,Cognition,intermediate,0.7,Walking in spatial patterns,Walk in specific spatial patterns.,None,"Brain, spatial awareness"
Coordination Walk,Cognition,advanced,1.0,Walking with coordination tasks,Walk while performing coordination challenges.,None,"Brain, coordination"
Balance Walk,Cognition,intermediate,0.7,Walking with balance tasks,Walk while performing balance challenges.,None,"Brain, balance"
Memory Sequence Walk,Cognition,advanced,1.0,Walking with memory sequences,Walk while remembering and repeating sequences.,None,"Brain, memory"
Pattern Recognition Walk,Cognition,intermediate,0.7,Walking with pattern recognition,Walk while recognizing and repeating patterns.,None,"Brain, pattern recognition"
Reaction Time Walk,Cognition,beginner,0.5,Walking with reaction time,Walk while reacting quickly to cues.,None,"Brain, reaction time"
Spatial Awareness Walk,Cognition,intermediate,0.7,Walking with spatial awareness,Walk while maintaining spatial awareness.,None,"Brain, spatial awareness"
Coordination Challenge Walk,Cognition,advanced,1.0,Walking with coordination challenges,Walk while performing coordination challenges.,None,"Brain, coordination"
Balance with Distraction Walk,Cognition,intermediate,0.7,Walking with mental tasks,Walk while performing mental tasks.,None,"Brain, balance"
Movement Memory Walk,Cognition,intermediate,0.7,Walking with movement memory,Walk while remembering and repeating movements.,None,"Brain, memory"
Rhythm Recognition Walk,Cognition,beginner,0.5,Walking with rhythm,Walk in time with different rhythms.,None,"Brain, rhythm"
Direction Changes Walk,Cognition,intermediate,0.7,Walking with direction changes,Walk while changing direction based on cues.,None,"Brain, coordination"
Movement Patterns Walk,Cognition,advanced,1.0,Walking with movement patterns,Walk while creating and repeating patterns.,None,"Brain, creativity"
